road_id,status,roadmst_id,roadmst_name,directional_tendency,road_name_type,road_class,road_type,one_way_dir,high_address,low_address,address_range,odd_side,from_roadint_id,to_roadint_id,truck_route,snow_removal,from_roadint_name,to_roadint_name,OBJECTID,land_use,transit_class,implementation_class,SHAPESTLength
126298,A,104834,HOLLYWOOD RD S,NS,RD,Minor Arterial,ROAD,0,1524,1400,1400 - 1524,R,611993,604758,,2,PECK RD,SPRINGFIELD RD,38868,Suburban,,,127.3655004
150007,A,110344,TEASDALE RD,NS,RD,Local,ROAD,0,1779,1555,1555 - 1779,R,611928,604354,,3,HOLLYWOOD RD S,VILLA VISTA RD,38871,Rural,,,1054.959747
161950,A,114102,BLACK MOUNTAIN DR,NS,DR,Minor Arterial,ROAD,0,1099,300,300 - 1099,R,622489,623303,,2,STOCKLEY ST,BIRKDALE AVE,38873,Suburban,,,1180.262361
160059,A,114102,BLACK MOUNTAIN DR,NS,DR,Minor Arterial,ROAD,0,1224,1100,1100 - 1224,R,622477,622489,,2,LUND RD,STOCKLEY ST,38874,Suburban,,,277.7744729
160325,A,114102,BLACK MOUNTAIN DR,NS,DR,Minor Arterial,ROAD,0,1554,1500,1500 - 1554,R,622604,622453,,2,BEGLEY RD,LINDA AVE,38876,Suburban,Local,,186.9288493
168106,A,109405,SHEPHERD RD,EW,RD,Collector,ROAD,0,249,100,100 - 249,R,621665,625740,,2,ROXBY RD,RUTLAND RD N,39241,Urban Centre,Frequent,,206.6566543
168183,A,109076,RUTLAND RD N,NS,RD,Major Arterial (Multilane),ROAD,,315,216,216 - 315,R,625740,601446,2,1,SHEPHERD RD,MCINTOSH RD,39242,Urban Centre,Frequent,City-led Project (Within 20 Years),178.9338615
168195,A,116564,BRAMBLE CT,NS,CT,Local,ROAD,0,1075,1000,1000 - 1075,R,625753,999993,,3,MINE HILL DR,NORTH END OF ROAD,39243,Hillside,,,109.7749431
168233,A,115598,MINE HILL DR,EW,DR,Local,ROAD,,1351,1339,1339 - 1351,R,625753,624432,,3,BRAMBLE CT,MINE HILL LANE,39244,Hillside,,,112.0088423
168245,A,116576,WINDHOVER CT,EW,CT,Local,ROAD,0,500,450,450 - 500,R,625765,999991,,3,UPPER MISSION DR,EAST END OF ROAD,39643,Hillside,,,157.0636805
168284,A,114809,UPPER MISSION DR,NS,DR,Collector,ROAD,,5424,5410,5410 - 5424,R,625765,625171,,2,WINDHOVER CT,KESTREL LANE,39645,Hillside,,,95.17230233
